episode,score,score_avg100,time_steps,time_ep,time_total
0,0.0,0.0,14,0.04754352569580078,0.04754471778869629
1,0.0,0.0,14,0.05244040489196777,0.1006467342376709
2,0.0,0.0,14,0.050209760665893555,0.15168547630310059
3,0.0,0.0,33,0.10252070426940918,0.2547767162322998
4,0.0,0.0,14,0.043703317642211914,0.2991912364959717
5,0.0,0.0,27,0.08840084075927734,0.3883383274078369
6,0.0,0.0,14,0.0511012077331543,0.44028568267822266
7,0.09000000171363354,0.011250000214204192,32,0.10524988174438477,0.5463769435882568
8,0.09000000171363354,0.020000000380807452,31,0.09644818305969238,0.6435058116912842
9,0.0,0.018000000342726707,14,0.04564094543457031,0.6898496150970459
10,0.0,0.016363636675206097,14,0.04282855987548828,0.7333641052246094
11,0.0,0.015000000285605589,14,0.042369842529296875,0.776414155960083
12,0.0,0.013846154109789776,14,0.04487037658691406,0.8219723701477051
13,0.0,0.012857143101947648,14,0.03857874870300293,0.8611049652099609
14,0.0,0.012000000228484471,14,0.03938412666320801,0.901012659072876
15,0.09000000171363354,0.016875000321306288,33,0.09651732444763184,0.9981510639190674
16,0.0,0.01588235324358239,14,0.043767452239990234,1.042598009109497
17,0.0,0.015000000285605589,14,0.0473175048828125,1.0905334949493408
18,0.0,0.01421052658636319,14,0.046072959899902344,1.137310266494751
19,0.0,0.013500000257045031,14,0.0463252067565918,1.1844139099121094
20,0.0,0.012857143101947648,15,0.05303454399108887,1.238124132156372
21,0.0,0.012272727506404573,13,0.052437543869018555,1.2912824153900146
22,0.0,0.011739130658300026,14,0.05361652374267578,1.345775842666626
23,0.10000000149011612,0.015416666942959031,31,0.10283875465393066,1.449260950088501
24,0.0,0.014800000265240669,15,0.04839730262756348,1.4985086917877197
25,0.0,0.014230769485808335,15,0.0576937198638916,1.55680251121521
26,0.09000000171363354,0.01703703734609816,30,0.10582637786865234,1.6633741855621338
27,0.0,0.016428571726594652,14,0.05263471603393555,1.7169427871704102
28,0.0,0.015862069253263802,14,0.04878544807434082,1.7666294574737549
29,0.10000000149011612,0.018666666994492213,27,0.08986401557922363,1.8571600914001465
30,0.0,0.018064516446282788,14,0.04470562934875488,1.9027259349822998
31,0.0,0.01750000030733645,14,0.040189504623413086,1.9436678886413574
32,0.0,0.016969697267720192,14,0.04393649101257324,1.9881644248962402
33,0.0,0.016470588524551952,15,0.0487821102142334,2.037461042404175
34,0.10000000149011612,0.01885714318071093,29,0.0954596996307373,2.1336510181427
35,0.0,0.018333333647913404,14,0.049916744232177734,2.184312582015991
36,0.10000000149011612,0.020540540886891855,29,0.0939490795135498,2.278913974761963
37,0.10000000149011612,0.022631579323818807,30,0.09753251075744629,2.3771116733551025
38,0.0,0.022051282418079864,15,0.053212881088256836,2.4310712814331055
39,0.0,0.02150000035762787,14,0.04782438278198242,2.4794816970825195
40,0.0,0.0209756101050028,14,0.05457592010498047,2.534627914428711
41,0.0,0.020476190816788448,14,0.04643607139587402,2.5817387104034424
42,0.10000000149011612,0.022325581762679788,37,0.11676359176635742,2.6991360187530518
43,0.0,0.021818182177164337,14,0.04883456230163574,2.74867582321167
44,0.0,0.021333333684338464,14,0.04972124099731445,2.799102783203125
45,0.0,0.020869565560765888,19,0.05481457710266113,2.8544814586639404
46,0.0,0.020425532250962358,15,0.051749229431152344,2.9067277908325195
47,0.0,0.02000000032906731,14,0.04243659973144531,2.9499518871307373
48,0.0,0.01959183705704553,14,0.045702457427978516,2.9961800575256348
49,0.0,0.019200000315904617,14,0.041413307189941406,3.0381994247436523
50,0.0,0.018823529721475114,14,0.04229855537414551,3.0815577507019043
51,0.0,0.0184615387652929,15,0.047095537185668945,3.129230260848999
52,0.0,0.018113207845193036,13,0.04590439796447754,3.175872564315796
53,0.0,0.017777778070282052,14,0.04564070701599121,3.222273349761963
54,0.10000000149011612,0.019272727587006308,30,0.08466148376464844,3.3076517581939697
55,0.10000000149011612,0.020714286049561843,52,0.1616058349609375,3.469787359237671
56,0.0,0.020350877522376545,15,0.04640793800354004,3.5169100761413574
57,0.0,0.02000000032371488,14,0.043302297592163086,3.5607621669769287
58,0.10000000149011612,0.021355932546874224,44,0.1347501277923584,3.6962625980377197
59,0.0,0.021000000337759655,16,0.05268740653991699,3.7497425079345703
60,0.10000000149011612,0.022295082323863857,51,0.15399169921875,3.9042656421661377
61,0.10000000149011612,0.023548387471706636,53,0.1780545711517334,4.083058834075928
62,0.0,0.023174603543584308,14,0.04626011848449707,4.130155801773071
63,0.0,0.022812500363215804,14,0.04145312309265137,4.172167539596558
64,0.0,0.02246153881916633,14,0.04446673393249512,4.2171711921691895
65,0.0,0.022121212473421387,14,0.042144060134887695,4.25993537902832
66,0.10000000149011612,0.023283582458745188,52,0.16806387901306152,4.428566932678223
67,0.10000000149011612,0.024411765091559467,22,0.07280492782592773,4.5019941329956055
68,0.0,0.024057971394580345,14,0.042958974838256836,4.545861482620239
69,0.0,0.023714286088943482,15,0.04243040084838867,4.589323282241821
70,0.0,0.023380282059521744,14,0.0396580696105957,4.62972092628479
71,0.0,0.023055555919806164,14,0.03839921951293945,4.668979644775391
72,0.10000000149011612,0.024109589420769312,57,0.16175055503845215,4.831306219100952
73,0.0,0.023783784158326483,14,0.035829782485961914,4.867672920227051
74,0.0,0.023466667036215465,15,0.041492462158203125,4.9096643924713135
75,0.0,0.02315789510152842,14,0.0395510196685791,4.949826002120972
76,0.0,0.022857143217092986,15,0.04322934150695801,4.99391770362854
77,0.0,0.022564102919437945,14,0.03930997848510742,5.033806800842285
78,0.0,0.022278481363495695,15,0.047270774841308594,5.081609725952148
79,0.0,0.022000000346451998,13,0.03567624092102051,5.117794036865234
80,0.0,0.021728395403903207,14,0.045030832290649414,5.1633806228637695
81,0.0,0.02146341497214829,29,0.0956876277923584,5.259777545928955
82,0.0,0.02120481961103807,14,0.04990029335021973,5.310417890548706
83,0.0,0.020952381282335238,14,0.04600238800048828,5.357156991958618
84,0.0,0.020705882679013646,14,0.04145979881286621,5.399287700653076
85,0.0,0.020465116601350697,15,0.04829120635986328,5.448335886001587
86,0.0,0.020229885376047814,14,0.04558873176574707,5.494629383087158
87,0.0,0.02000000031495636,14,0.04833984375,5.54354453086853
88,0.10000000149011612,0.020898876732654784,31,0.08930420875549316,5.633672714233398
89,0.0,0.020666666991180842,14,0.03859138488769531,5.672796726226807
90,0.10000000149011612,0.021538461875784527,31,0.08406424522399902,5.75741982460022
91,0.0,0.021304348159743393,17,0.047309160232543945,5.8055102825164795
